G0	TAF7
G1	EYA3
G2	ZNF202
G3	HIPK2
G4	TCEB2
G5	CENPK
G6	TCEA1
G7	RAI14
G8	MIS18BP1
G9	RBBP7
G10	POLR3D
G11	TBL1X
G12	SOX11
G13	ZFP42
G14	BTG2
G15	MYCN
G16	VEZF1
G17	TCOF1
G18	ZNF581
G19	SMARCC1
G20	PCGF6
G21	CDX2
G22	DR1
G23	KLF5
G24	ZNF74
G25	NR1H3
G26	CDCA7L
G27	GATA5
G28	IRF9
G29	COPS2
G30	TFAP2C
G31	TFDP2
G32	ZNRD1
G33	POLR2L
G34	DAXX
G35	ZNF300
G36	FOXH1
G37	ANKRD1
G38	AES
G39	FOSL1
G40	ZNF33A
G41	ZRANB2
G42	MED21
G43	CREB3L4
G44	HIF3A
G45	TRIM25
G46	DEDD
G47	DDX20
G48	KNTC1
G49	ING1
G50	RNF19A
G51	POLR2F
G52	MYBBP1A
G53	MCM4
G54	TARDBP
G55	MED4
G56	HNF4A
G57	POLR1D
G58	GMEB1
G59	TFE3
G60	THAP1
G61	RFX6
G62	CHD8
G63	MYBL2
G64	CRABP2
G65	GATA4
G66	ATF3
G67	EOMES
G68	TIMELESS
G69	ELF1
G70	EZH2
G71	EGR1
G72	NFATC2
G73	SNAPC1
G74	ZIC3
G75	ARID3B
G76	ZBTB3
G77	TAF5
G78	ZNF638
G79	HNRNPK
G80	NFYB
G81	FXR1
G82	DNMT3A
G83	POU5F1
G84	ESPL1
G85	TAF6
G86	XBP1
G87	ZNF670
G88	TGIF1
G89	FOXA2
G90	TAF1A
G91	POLR2I
G92	FOXM1
G93	ILF3
G94	MAF
G95	MEF2C
G96	MXD1
G97	TCFL5
G98	TGIF2
G99	IVNS1ABP
G100	ASCC3
G101	SALL3
G102	DDX54
G103	E2F4
G104	SMAD2
G105	DDIT3
G106	BCOR
G107	HIST1H1E
G108	SIRT2
G109	HESX1
G110	RBMX
G111	WBP11
G112	FOSL2
G113	SNRPD1
G114	E2F7
G115	HNRNPAB
G116	PBX1
G117	WDR5
G118	ID3
G119	JMJD1C
G120	POLR2G
G121	DEK
G122	CTBP1
G123	FUBP1
G124	ZNF398
G125	RARG
G126	NPM1
G127	DRAP1
G128	RFX5
G129	PHB2
G130	MYC
G131	DNMT3B
G132	KLF3
G133	TTF2
G134	NR3C1
G135	LIN28A
G136	GLIS3
G137	JUN
G138	ZIC2
G139	AHR
G140	PMS1
G141	NAA15
G142	TADA3
G143	PTMA
G144	SCD5
G145	TAF11
G146	PITX1
G147	TBPL1
G148	ZFHX3
G149	PAPOLA
G150	PREB
G151	PARP1
G152	SMAD3
G153	ABT1
G154	RUVBL2
G155	SEC14L2
G156	AATF
G157	PSIP1
G158	EIF5B
G159	CSDE1
G160	MMS19
G161	HMGB2
G162	NR1I3
G163	YAF2
G164	SP4
G165	FOSB
G166	ASXL1
G167	ETV1
G168	GLI1
G169	HMGA1
G170	RFXANK
G171	DDX5
G172	PLAGL2
G173	SUB1
G174	TAF9B
G175	DNAJC2
G176	JARID2
G177	CSRP2
G178	KLF6
G179	MED14
G180	CNOT7
G181	NANOG
G182	XRCC6
G183	ZNF644
G184	CDKN1A
G185	SSB
G186	ZNF766
G187	E2F5
G188	PWP1
G189	TCF25
G190	SRRM1
G191	BCL11B
G192	NEIL2
G193	POLR3E
G194	NFKBIZ
G195	TEAD4
G196	DAB2
G197	NR5A2
G198	SALL4
G199	TRIM22
G200	ZFP36
G201	ZNF143
G202	HNF1B
G203	ZNF287
G204	ZSCAN21
G205	HINFP
G206	ADNP
G207	RFC1
G208	GTF2F2
G209	CREG1
G210	PIAS2
G211	SRSF10
G212	SUV39H2
G213	ETV4
G214	KHDRBS1
G215	TAF1B
G216	CXXC1
G217	FOXA1
G218	ELL2
G219	BTG1
G220	GTF2I
G221	HNRNPD
G222	MCM5
G223	SRF
G224	ZNF589
G225	HDAC1
G226	LDB2
G227	EHMT2
G228	NR2F2
G229	TRIM28
G230	ZFP64
G231	EPAS1
G232	POLR1B
G233	GTF2H2
G234	SSRP1
G235	BTF3
G236	NR2F6
G237	NME2
G238	CREB3L2
G239	AFF4
G240	TRERF1
G241	PAWR
G242	PDCD11
G243	ZNF91
G244	MCM6
G245	STAT2
G246	EGF
G247	MLXIPL
G248	TCF7L1
G249	HDGF
G250	APEX1
G251	GATAD2B
G252	PEG3
G253	CHAF1A
G254	SMAD5
G255	POLR1C
G256	MCM8
G257	ZNF397
G258	MED30
G259	SMARCA5
G260	ETV5
G261	JAG1
G262	EGFR
G263	ZNF217
G264	GTF3C4
G265	HNRNPUL1
G266	ECD
G267	GTF3C5
G268	TCF19
G269	MTF2
G270	PTTG1
G271	SRSF1
G272	PLRG1
G273	CREB1
G274	BIN1
G275	NOTCH3
G276	POU2F1
G277	EEF1A1
G278	EWSR1
G279	ZBTB16
G280	SRSF2
G281	ZNF107
G282	RBBP4
G283	AEBP1
G284	GLI2
G285	DDB2
G286	JAZF1
G287	TP53
G288	ENO1
G289	KDM4C
G290	TCEB1
G291	ZNF232
G292	RAD54B
G293	HTATSF1
G294	EED
G295	HIST1H1B
G296	PTRF
G297	ZNF101
G298	BCL11A
G299	TRIP13
G300	MATR3
G301	SRSF3
G302	RNF2
G303	CNTRL
G304	TCF3
G305	AEBP2
G306	U2AF1
G307	RAD51
G308	CNBP
G309	TARBP2
G310	TCERG1
G311	RBPJ
G312	REST
G313	GABPB1
G314	SMARCD2
G315	BRCA2
G316	YEATS4
G317	POLR2B
G318	TEAD2
G319	MAZ
G320	IRF1
G321	DNMT1
G322	BDP1
G323	COPS5
G324	HMGN2
G325	POLR2D
G326	DPF2
G327	BRCA1
G328	FHL2
G329	BMPR1A
G330	PDGFA
G331	RNF4
G332	F2
G333	PITX2
G334	POLR2K
G335	SMARCE1
G336	SRSF6
G337	RUVBL1
G338	ZBTB24
G339	H1F0
G340	HMGN3
G341	NONO
G342	NFIB
G343	NSD1
G344	RREB1
G345	ING3
G346	FOXO1
G347	HMGXB4
G348	HIF1AN
G349	BRIP1
G350	GTF3C2
G351	E2F8
G352	ZNF354A
G353	CEBPD
G354	MAPK1
G355	RUNX1T1
G356	TBX3
G357	ING5
G358	EHMT1
G359	MAFF
G360	BPTF
G361	CTDSPL
G362	RBM39
G363	ZNF208
G364	PPARA
G365	SMARCA4
G366	HIST1H1C
G367	PAX6
G368	YBX1
G369	SNRPB
G370	TNFAIP3
G371	E2F3
G372	SSBP2
G373	ZNF239
G374	ID2
G375	TFDP1
G376	ZNF675
G377	MCM3
G378	SIRT1
G379	SOX4
G380	TCEB3
G381	PA2G4
G382	MCM7
G383	PDLIM7
G384	THAP11
G385	ARID2
G386	PRDM14
G387	GRHL1
G388	ELAVL2
G389	HDAC2
G390	SOX2
G391	THRB
G392	TRIM27
G393	ETS1
G394	LHX1
G395	CCND1
G396	HNRNPR
G397	RNPS1
G398	ZNF146
G399	SKIL
G400	CBX3
G401	NCOA6
G402	CEBPA
G403	FOXP1
G404	ZNF160
G405	HMGA2
G406	BMP2
G407	ZNF567
G408	MEIS3
G409	UHRF1
G410	HMGN1
G411	NRIP1
G412	CREB3L3
G413	ERCC8
G414	MYCBP
G415	PRDM1
G416	ZHX1
G417	MED20
G418	PIAS3
G419	ILF2
G420	IRF3
G421	GATA6
G422	ZNHIT3
G423	GTF2H3
G424	TCF4
G425	CEBPZ
G426	SERTAD3
G427	DOT1L
G428	NCOA1
G429	TOPORS
G430	SUPT16H
G431	POLR1E
G432	SSBP3
G433	JUND
G434	ORC2
G435	NUPR1
G436	TOP2B
G437	THRAP3
G438	OTX2
G439	MCM2
G440	SALL2
G441	GEMIN2
G442	ZNF227
G443	XRCC5
G444	HCFC1
G445	KAT7
G446	GTF2E1
G447	SP100
