G0	NFAT5
G1	REXO4
G2	ORC2
G3	IRF8
G4	XRCC6
G5	GTF2F1
G6	NFKBIA
G7	MAPK1
G8	MAPK12
G9	ZDHHC6
G10	PHF10
G11	ZBTB20
G12	E2F4
G13	CENPK
G14	DEK
G15	RPA1
G16	CBX7
G17	ERCC8
G18	NFIA
G19	ABL1
G20	JUN
G21	RNF4
G22	SALL2
G23	LMO4
G24	NUPR1
G25	SRSF1
G26	STAT2
G27	RB1
G28	TLE2
G29	HNRNPAB
G30	SMARCA2
G31	GFI1B
G32	VDR
G33	SPI1
G34	SATB1
G35	JARID2
G36	IRF7
G37	RUNX1T1
G38	HDAC2
G39	HDGF
G40	PRDM16
G41	GATA2
G42	ZBTB16
G43	BTAF1
G44	TTF2
G45	RORC
G46	IKZF1
G47	NR3C2
G48	HIF3A
G49	TRPS1
G50	WDR5
G51	FEM1B
G52	MECOM
G53	HDAC11
G54	RELB
G55	TSC22D3
G56	BATF2
G57	CTR9
G58	MYC
G59	CBFB
G60	YBX1
G61	TRIB3
G62	IRF9
G63	HDAC7
G64	LZTS1
G65	PLAG1
G66	SPO11
G67	MYCN
G68	CSRP3
G69	TEAD2
G70	ZFP467
G71	RUVBL2
G72	ZEB2
G73	PA2G4
G74	APBB1
G75	HCFC1
G76	TOPORS
G77	NFE2
G78	RPA2
G79	MLLT3
G80	TAF12
G81	RARB
G82	SNRPB
G83	NDN
G84	EPAS1
G85	MCM6
G86	XPC
G87	EYA2
G88	BTG2
G89	PBX1
G90	FOXO1
G91	DDX58
G92	RPS6KA5
G93	ELP2
G94	IRF6
G95	ARID3B
G96	H1F0
G97	ZFP36
G98	POLR1B
G99	MCM5
G100	HLF
G101	RORA
G102	NFATC2
G103	ATF7
G104	CREB5
G105	MED16
G106	MIS18BP1
G107	TCF19
G108	EGR1
G109	SOX18
G110	POLR2B
G111	PHB2
G112	ELF1
G113	RAD51
G114	ZDHHC13
G115	KLF6
G116	SLA2
G117	MYB
G118	XRCC3
G119	MCM3
G120	MEIS1
G121	REL
G122	HMGB2
G123	DDX20
G124	NAP1L3
G125	E2F8
G126	MCM4
G127	MCM2
G128	MAML3
G129	MXD3
G130	ZBTB38
G131	TLR4
G132	MCM7
G133	EBF1
G134	GTF2H1
