Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.397+0.006,0.397+0.006,0.391+0.007,0.397+0.006,0.392+0.007,0.674+0.003,0.661+0.003
0.803+0.003,0.803+0.003,0.809+0.003,0.803+0.003,0.816+0.003,0.952+0.002,0.957+0.002
0.523+0.011,0.523+0.011,0.528+0.012,0.523+0.011,0.515+0.010,0.800+0.003,0.793+0.003
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.397+0.006,0.397+0.006,0.391+0.007,0.397+0.006,0.392+0.007,0.674+0.003,0.661+0.003
0.803+0.003,0.803+0.003,0.809+0.003,0.803+0.003,0.816+0.003,0.952+0.002,0.957+0.002
0.523+0.011,0.523+0.011,0.528+0.012,0.523+0.011,0.515+0.010,0.800+0.003,0.793+0.003
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.397+0.006,0.397+0.006,0.391+0.007,0.397+0.006,0.392+0.007,0.674+0.003,0.661+0.003
0.803+0.003,0.803+0.003,0.809+0.003,0.803+0.003,0.816+0.003,0.952+0.002,0.957+0.002
0.523+0.011,0.523+0.011,0.528+0.012,0.523+0.011,0.515+0.010,0.800+0.003,0.793+0.003
